"sample_id"	"ratio_cor"	"ratio_corrected_cor"	"ratio_centered_cor"	"coverage_cor"	"coverage_corrected_cor"	"coverage_centered_cor"	"combined_cor"	"combined_centered_cor"	"nfrags"	"mode_size"	"mean_size"	"median_size"	"q25_size"	"q75_size"	"hqbases_analyzed"	"coverage"
"lib060_realigned_recalibrated"	0.528274746441573	0.805818641230786	0.911310585141249	0.812869057580003	0.928439711530748	0.98982704817452	0.89430892817337	0.972516991868295	19456328	166	163.81	165	154	174	3891265600	1.54415301587302
"lib061_realigned_recalibrated"	0.792148580547166	0.825693419878774	0.905815308156573	0.793648681944149	0.928232037233165	0.990219490336159	0.896510285012051	0.970113242748402	18461688	166	165.97	167	155	177	3692337600	1.46521333333333
"lib065_realigned_recalibrated"	0.979365047081155	0.956362422708173	0.90339230839585	0.98784550632301	0.973222681369819	0.97274299577747	0.969857604794653	0.952003193798887	16902461	166	167.08	168	157	178	3380492200	1.34146515873016
"lib067_realigned_recalibrated"	0.867592721707713	0.808196759676096	0.902767649913105	0.823069378437869	0.929830760652389	0.990871051619102	0.894765906987579	0.970729055602357	20758054	166	165.94	167	155	178	4151610800	1.6474646031746
"lib076_realigned_recalibrated"	0.644162734593026	0.77622593948975	0.860385397799755	0.736065879964859	0.91949368975981	0.985185075804455	0.874686799599937	0.952969112225499	16955580	168	171.09	171	161	182	3391116000	1.34568095238095
"lib080_realigned_recalibrated"	0.957778897587551	0.866983272899466	0.895281329050671	0.936811093526577	0.836348508685583	0.726840763612168	0.835586885277442	0.742485490646829	20328071	167	167.55	168	158	178	4065614200	1.61333896825397
"lib086_realigned_recalibrated"	0.693078546648214	0.824743779845473	0.903770897037543	0.855285290204408	0.928182001221124	0.991271494119155	0.895722454281009	0.972929982766451	21108137	167	166.47	167	155	179	4221627400	1.67524896825397
"lib088_realigned_recalibrated"	0.780571312182798	0.806967577434496	0.898009295674092	0.823607563899559	0.930600113551877	0.991185116016068	0.901231042047298	0.972153213794918	19932715	166	163.93	166	152	176	3986543000	1.58196150793651
"lib090_realigned_recalibrated"	0.958203258236478	0.854239332453622	0.879798648564047	0.982705631611223	0.967374596910208	0.94614496221506	0.931070412011651	0.911354880433395	17183903	168	174.46	174	164	186	3436780600	1.36380182539683
"lib092_realigned_recalibrated"	0.984078538035929	0.941985167603999	0.930858009319335	0.98147828711969	0.976780592555946	0.927605656744773	0.96938549343885	0.913276954338332	39895911	166	166.71	167	157	177	7979182200	3.16634214285714
"lib095_realigned_recalibrated"	0.763358347912645	0.829948385319282	0.909532675499456	0.85202264220935	0.934565325057312	0.991490389631009	0.908120452671714	0.972835978474333	19445936	166	164.6	166	154	175	3889187200	1.54332825396825
"lib096_realigned_recalibrated"	0.975075028536496	0.90180801918914	0.909052737738978	0.985119461164467	0.977136432956058	0.944062361612344	0.958979222606232	0.922732873449123	20061241	167	167.03	168	157	178	4012248200	1.59216198412698
"lib101_realigned_recalibrated"	0.924281431811015	0.896310066720344	0.94769173758644	0.984344123819688	0.956243099062434	0.983718677493078	0.940055777525597	0.973832868917805	21936969	166	162.47	165	152	173	4387393800	1.74102928571429
"lib150_realigned_recalibrated"	0.90677123581891	0.850885765638206	0.934037771637748	0.898648343366383	0.93155943551168	0.991648965274174	0.903602450588908	0.976586515317493	36611695	167	170.26	170	159	183	7322339000	2.90569007936508
"lib164_realigned_recalibrated"	0.169580434675671	0.824669102942007	0.920845917836059	0.88808121133318	0.925272639932074	0.98521029958454	0.894745609883149	0.969609400197438	38827304	167	169.35	170	160	180	7765460800	3.08153206349206
