"sample_id"	"ratio_cor"	"ratio_corrected_cor"	"ratio_centered_cor"	"coverage_cor"	"coverage_corrected_cor"	"coverage_centered_cor"	"combined_cor"	"combined_centered_cor"	"nfrags"	"mode_size"	"mean_size"	"median_size"	"q25_size"	"q75_size"	"hqbases_analyzed"	"coverage"
"1"	"lib060_realigned_recalibrated"	0.513033973465429	0.811884336381613	0.911570628333533	0.802863320445058	0.928578151728081	0.990016874596698	0.895261931147808	0.973665741848928	19472012	166	163.81	165	154	174	3894402400	1.54539777777778
"2"	"lib061_realigned_recalibrated"	0.791323189133232	0.827212964801913	0.904802109664062	0.784547051739522	0.925845754629569	0.989359267778549	0.893962781130889	0.967995061609012	18470214	166	165.97	167	155	177	3694042800	1.46589
"3"	"lib065_realigned_recalibrated"	0.977619136350003	0.956592631608376	0.902215773950375	0.986484796593775	0.973799590623643	0.970415842139903	0.970681892278863	0.950282088064027	16942211	166	167.08	168	157	178	3388442200	1.34461992063492
"4"	"lib067_realigned_recalibrated"	0.872163956812334	0.808504371714072	0.903177943802957	0.814619304516216	0.927733411057528	0.990257119450883	0.892241588842418	0.969336423008504	20762980	166	165.94	167	155	178	4152596000	1.64785555555556
"5"	"lib076_realigned_recalibrated"	0.644044806223524	0.781860556781998	0.866635355598611	0.722486496824846	0.917974779102295	0.983982545318122	0.873039764894806	0.951593506619379	16960539	168	171.09	171	161	182	3392107800	1.34607452380952
"6"	"lib080_realigned_recalibrated"	0.962453847119589	0.883626925738278	0.904378480305754	0.932218906064189	0.82962567138166	0.714273268172856	0.83693985802708	0.738230421221093	20485479	167	167.55	168	158	178	4097095800	1.62583166666667
"7"	"lib086_realigned_recalibrated"	0.680537143354066	0.82268595406726	0.906847598982532	0.850729092320385	0.926685970249895	0.99125658710789	0.893375754963577	0.972210245848624	21138942	167	166.47	167	155	179	4227788400	1.67769380952381
"8"	"lib088_realigned_recalibrated"	0.782190327191978	0.816954603761101	0.898921640995586	0.816292827138549	0.92908487244502	0.991036386789345	0.900208340544743	0.97115395725717	19943549	166	163.93	166	152	176	3988709800	1.58282134920635
"9"	"lib090_realigned_recalibrated"	0.957631444005698	0.850592792941	0.879408022483726	0.981410221840498	0.965907241286185	0.942408868085377	0.925825506846035	0.906104612616818	17222379	168	174.46	174	164	186	3444475800	1.36685547619048
"10"	"lib092_realigned_recalibrated"	0.983683468965284	0.939375997954317	0.927373479807469	0.978964979986251	0.975685903375565	0.922516911809107	0.967957196003922	0.908960164886084	40068120	166	166.71	167	157	177	8013624000	3.18000952380952
"11"	"lib095_realigned_recalibrated"	0.752930664999407	0.836341139154563	0.91099147400665	0.843068872398185	0.934240946784016	0.991020244772672	0.908226956627188	0.97174948188914	19457994	166	164.6	166	154	175	3891598800	1.54428523809524
"12"	"lib096_realigned_recalibrated"	0.974325039416074	0.89819019242346	0.904751926408083	0.983121816177821	0.975569173260608	0.939806132542745	0.955794000444095	0.919794657188607	20127822	167	167.03	168	157	178	4025564400	1.59744619047619
"13"	"lib101_realigned_recalibrated"	0.924474042009786	0.906030435163325	0.948326266460243	0.982804412945827	0.956827410087012	0.982912900270264	0.941429741262004	0.973330806487602	21999616	166	162.47	165	152	173	4399923200	1.74600126984127
"14"	"lib150_realigned_recalibrated"	0.909028395297917	0.855905538384327	0.933565733858487	0.891268701313988	0.929978087913972	0.991418116578358	0.901915612642611	0.976352777243369	36603274	167	170.26	170	159	183	7320654800	2.90502174603175
"15"	"lib164_realigned_recalibrated"	0.158891825562542	0.825331585002488	0.919363915081287	0.880609553420043	0.926519697895608	0.986366046830137	0.894796491866944	0.969794732102724	38866879	167	169.35	170	160	180	7773375800	3.08467293650794
